Size,Duration_in_us,If_sorted
1000000,1483336,1
1000000,1434013,1
1000000,1454512,1
1000000,1459000,1
1000000,1449583,1
1000000,1423111,1
1000000,1443058,1
1000000,1445967,1
1000000,1461170,1
1000000,1460223,1
1000000,1464542,1
1000000,1459606,1
1000000,1439760,1
1000000,1452404,1
1000000,1445800,1
1000000,1448884,1
1000000,1450443,1
1000000,1443421,1
1000000,1447664,1
1000000,1447723,1
1000000,1448100,1
1000000,1441663,1
1000000,1449122,1
1000000,1460090,1
1000000,1497591,1
1000000,1466095,1
1000000,1494973,1
1000000,1475619,1
1000000,1490420,1
1000000,1457561,1
1000000,1463391,1
1000000,1446902,1
1000000,1446709,1
1000000,1496017,1
1000000,1538905,1
1000000,1585109,1
1000000,1451747,1
1000000,1448826,1
1000000,1452895,1
1000000,1458349,1
1000000,1456622,1
1000000,1447461,1
1000000,1450606,1
1000000,1442199,1
1000000,1459384,1
1000000,1492934,1
1000000,1444035,1
1000000,1455828,1
1000000,1458650,1
1000000,1441656,1
1000000,1449268,1
1000000,1443558,1
1000000,1453545,1
1000000,1506442,1
1000000,1456751,1
1000000,1442021,1
1000000,1454505,1
1000000,1448485,1
1000000,1447553,1
1000000,1459820,1
1000000,1451215,1
1000000,1489263,1
1000000,1426240,1
1000000,1494225,1
1000000,1492499,1
1000000,1471647,1
1000000,1499178,1
1000000,1508673,1
1000000,1496790,1
1000000,1532115,1
1000000,1509837,1
1000000,1454574,1
1000000,1450783,1
1000000,1480044,1
1000000,1524640,1
1000000,1473368,1
1000000,1463114,1
1000000,1454655,1
1000000,1442077,1
1000000,1451414,1
1000000,1474602,1
1000000,1494219,1
1000000,1471060,1
1000000,1408501,1
1000000,1438228,1
1000000,1443885,1
1000000,1440912,1
1000000,1491118,1
1000000,1439375,1
1000000,1474730,1
1000000,1488765,1
1000000,1437163,1
1000000,1448105,1
1000000,1444603,1
1000000,1470756,1
1000000,1480553,1
1000000,1455263,1
1000000,1534878,1
1000000,1466643,1
1000000,1443477,1
