Size,Duration_in_us,If_sorted
1000000,423485,1
1000000,387202,1
1000000,386089,1
1000000,431463,1
1000000,438071,1
1000000,485618,1
1000000,449473,1
1000000,374427,1
1000000,369864,1
1000000,364303,1
1000000,369504,1
1000000,387333,1
1000000,370094,1
1000000,415836,1
1000000,430757,1
1000000,365010,1
1000000,397846,1
1000000,363958,1
1000000,460829,1
1000000,396983,1
1000000,374359,1
1000000,419163,1
1000000,398705,1
1000000,444916,1
1000000,413244,1
1000000,457305,1
1000000,454023,1
1000000,408673,1
1000000,394638,1
1000000,381366,1
1000000,418334,1
1000000,419311,1
1000000,365235,1
1000000,459357,1
1000000,443998,1
1000000,402714,1
1000000,420230,1
1000000,368388,1
1000000,456457,1
1000000,416573,1
1000000,367889,1
1000000,404879,1
1000000,411329,1
1000000,419945,1
1000000,383107,1
1000000,402195,1
1000000,435094,1
1000000,387736,1
1000000,383735,1
1000000,368214,1
1000000,390242,1
1000000,385361,1
1000000,410157,1
1000000,391831,1
1000000,377384,1
1000000,409895,1
1000000,408069,1
1000000,383044,1
1000000,526638,1
1000000,384465,1
1000000,374827,1
1000000,375527,1
1000000,406670,1
1000000,387569,1
1000000,366846,1
1000000,397201,1
1000000,423205,1
1000000,430998,1
1000000,397339,1
1000000,435608,1
1000000,402301,1
1000000,414485,1
1000000,434998,1
1000000,388630,1
1000000,372710,1
1000000,463432,1
1000000,368887,1
1000000,363338,1
1000000,417876,1
1000000,405620,1
1000000,392830,1
1000000,392006,1
1000000,383952,1
1000000,442486,1
1000000,365485,1
1000000,460582,1
1000000,398383,1
1000000,441616,1
1000000,428573,1
1000000,486856,1
1000000,462069,1
1000000,374593,1
1000000,468329,1
1000000,418305,1
1000000,491194,1
1000000,390062,1
1000000,375182,1
1000000,459992,1
1000000,395843,1
1000000,373509,1
