Size,Duration_in_us,If_sorted
1000000,207625,1
1000000,211154,1
1000000,217992,1
1000000,206339,1
1000000,217995,1
1000000,238648,1
1000000,207745,1
1000000,207313,1
1000000,215327,1
1000000,201817,1
1000000,203843,1
1000000,205697,1
1000000,216683,1
1000000,207081,1
1000000,203687,1
1000000,206789,1
1000000,205303,1
1000000,205376,1
1000000,206261,1
1000000,207297,1
1000000,206180,1
1000000,258142,1
1000000,194940,1
1000000,194073,1
1000000,194165,1
1000000,194240,1
1000000,196871,1
1000000,194604,1
1000000,194915,1
1000000,195002,1
1000000,195227,1
1000000,202097,1
1000000,197797,1
1000000,198306,1
1000000,197111,1
1000000,238503,1
1000000,200133,1
1000000,195584,1
1000000,194333,1
1000000,194370,1
1000000,194007,1
1000000,197053,1
1000000,194046,1
1000000,194667,1
1000000,194736,1
1000000,194654,1
1000000,197606,1
1000000,194217,1
1000000,194954,1
1000000,194701,1
1000000,194918,1
1000000,197779,1
1000000,195723,1
1000000,194521,1
1000000,194908,1
1000000,194216,1
1000000,196589,1
1000000,193996,1
1000000,194414,1
1000000,194269,1
1000000,194069,1
1000000,197301,1
1000000,195339,1
1000000,194447,1
1000000,194590,1
1000000,194331,1
1000000,194677,1
1000000,196152,1
1000000,194513,1
1000000,194697,1
1000000,194444,1
1000000,209945,1
1000000,201628,1
1000000,193828,1
1000000,194115,1
1000000,194160,1
1000000,194014,1
1000000,197361,1
1000000,194513,1
1000000,194521,1
1000000,193755,1
1000000,193438,1
1000000,197264,1
1000000,194202,1
1000000,194442,1
1000000,193935,1
1000000,194157,1
1000000,196795,1
1000000,193812,1
1000000,194382,1
1000000,194120,1
1000000,194277,1
1000000,198257,1
1000000,194469,1
1000000,194406,1
1000000,193948,1
1000000,194091,1
1000000,199176,1
1000000,194409,1
1000000,193717,1
