Size,Duration_in_us,If_sorted
1000000,179514,1
1000000,177463,1
1000000,177935,1
1000000,175099,1
1000000,186269,1
1000000,199084,1
1000000,213774,1
1000000,200103,1
1000000,178465,1
1000000,172122,1
1000000,171754,1
1000000,171655,1
1000000,175719,1
1000000,177632,1
1000000,174894,1
1000000,173866,1
1000000,172621,1
1000000,175805,1
1000000,175764,1
1000000,174270,1
1000000,173714,1
1000000,190006,1
1000000,192779,1
1000000,184323,1
1000000,195864,1
1000000,173303,1
1000000,172426,1
1000000,175276,1
1000000,176001,1
1000000,172117,1
1000000,174544,1
1000000,174438,1
1000000,172300,1
1000000,173048,1
1000000,175844,1
1000000,173456,1
1000000,174921,1
1000000,174079,1
1000000,183025,1
1000000,193776,1
1000000,196011,1
1000000,213917,1
1000000,173778,1
1000000,172418,1
1000000,171455,1
1000000,173207,1
1000000,172640,1
1000000,173103,1
1000000,174004,1
1000000,173011,1
1000000,173900,1
1000000,175054,1
1000000,175219,1
1000000,173520,1
1000000,171514,1
1000000,187358,1
1000000,193655,1
1000000,184947,1
1000000,184034,1
1000000,172937,1
1000000,171450,1
1000000,172154,1
1000000,175085,1
1000000,173437,1
1000000,174190,1
1000000,176186,1
1000000,174995,1
1000000,173759,1
1000000,174866,1
1000000,173102,1
1000000,173334,1
1000000,173358,1
1000000,200966,1
1000000,195213,1
1000000,194517,1
1000000,179688,1
1000000,172739,1
1000000,171759,1
1000000,171256,1
1000000,175098,1
1000000,177761,1
1000000,175655,1
1000000,172311,1
1000000,173230,1
1000000,174423,1
1000000,175276,1
1000000,176179,1
1000000,179751,1
1000000,188422,1
1000000,184052,1
1000000,186629,1
1000000,239193,1
1000000,182936,1
1000000,175223,1
1000000,175877,1
1000000,173304,1
1000000,176699,1
1000000,173811,1
1000000,172437,1
1000000,174632,1
