Size,Duration_in_us,If_sorted
1000000,4626658,1
1000000,4553156,1
1000000,4548040,1
1000000,4557878,1
1000000,4564120,1
1000000,4565922,1
1000000,4560951,1
1000000,4544868,1
1000000,4546442,1
1000000,4551353,1
1000000,4557858,1
1000000,4551426,1
1000000,4551001,1
1000000,4556388,1
1000000,4550020,1
1000000,4551615,1
1000000,4549500,1
1000000,4549128,1
1000000,4549960,1
1000000,4550127,1
1000000,4558376,1
1000000,4549607,1
1000000,4553890,1
1000000,4556676,1
1000000,4554194,1
1000000,4552699,1
1000000,4555515,1
1000000,4559707,1
1000000,4556362,1
1000000,4560889,1
1000000,4550730,1
1000000,4550752,1
1000000,4554918,1
1000000,4565040,1
1000000,4553827,1
1000000,4553662,1
1000000,4554687,1
1000000,4556068,1
1000000,4550495,1
1000000,4554658,1
1000000,4552842,1
1000000,4546465,1
1000000,4556643,1
1000000,4547095,1
1000000,4549464,1
1000000,4556945,1
1000000,4548155,1
1000000,4544942,1
1000000,4553917,1
1000000,4555427,1
1000000,4553291,1
1000000,4560903,1
1000000,4557041,1
1000000,4563389,1
1000000,4548067,1
1000000,4557193,1
1000000,4545811,1
1000000,4562726,1
1000000,4560613,1
1000000,4554496,1
1000000,4554935,1
1000000,4553939,1
1000000,4553936,1
1000000,4554552,1
1000000,4556118,1
1000000,4550517,1
1000000,4552623,1
1000000,4555668,1
1000000,4554591,1
1000000,4564058,1
1000000,4574993,1
1000000,4558586,1
1000000,4547125,1
1000000,4563534,1
1000000,4552058,1
1000000,4553421,1
1000000,4554696,1
1000000,4550528,1
1000000,4553380,1
1000000,4555802,1
1000000,4549141,1
1000000,4544814,1
1000000,4551530,1
1000000,4545064,1
1000000,4550210,1
1000000,4561743,1
1000000,4558330,1
1000000,4561417,1
1000000,4555315,1
1000000,4550533,1
1000000,4546082,1
1000000,4553119,1
1000000,4564170,1
1000000,4557002,1
1000000,4549513,1
1000000,4563582,1
1000000,4562294,1
1000000,4550452,1
1000000,4552927,1
1000000,4567410,1
