Size,Duration_in_us,If_sorted
1000000,4824040,1
1000000,4795909,1
1000000,4914920,1
1000000,4766621,1
1000000,4830248,1
1000000,4852598,1
1000000,4810512,1
1000000,4809937,1
1000000,4905755,1
1000000,4811124,1
1000000,4920961,1
1000000,4955989,1
1000000,4762557,1
1000000,4856678,1
1000000,4815338,1
1000000,4840690,1
1000000,4761768,1
1000000,4849269,1
1000000,4777983,1
1000000,4922886,1
1000000,4894604,1
1000000,4868660,1
1000000,4827859,1
1000000,4776095,1
1000000,4822804,1
1000000,4894125,1
1000000,4815575,1
1000000,4907241,1
1000000,4891566,1
1000000,4871127,1
1000000,4881351,1
1000000,4788706,1
1000000,4805699,1
1000000,4844618,1
1000000,4858575,1
1000000,4860540,1
1000000,4876803,1
1000000,4830526,1
1000000,4804551,1
1000000,4853670,1
1000000,4899820,1
1000000,4804470,1
1000000,4883018,1
1000000,4891059,1
1000000,4799638,1
1000000,4820505,1
1000000,4992979,1
1000000,4874484,1
1000000,4875073,1
1000000,4868440,1
1000000,4834341,1
1000000,4846646,1
1000000,4777335,1
1000000,4799740,1
1000000,4890310,1
1000000,4857415,1
1000000,4830725,1
1000000,4927869,1
1000000,5056352,1
1000000,5203636,1
1000000,4993430,1
1000000,4973494,1
1000000,5029616,1
1000000,4945830,1
1000000,4953239,1
1000000,5080941,1
1000000,4995404,1
1000000,4832536,1
1000000,4876797,1
1000000,4788443,1
1000000,4812599,1
1000000,4811539,1
1000000,4925073,1
1000000,4811460,1
1000000,4811117,1
1000000,4893532,1
1000000,4873121,1
1000000,4806253,1
1000000,4878342,1
1000000,4830770,1
1000000,4846135,1
1000000,4861671,1
1000000,4860190,1
1000000,4972823,1
1000000,4766444,1
1000000,4779683,1
1000000,5143997,1
1000000,4866532,1
1000000,4864438,1
1000000,4997701,1
1000000,4894578,1
1000000,4865591,1
1000000,4987603,1
1000000,4873509,1
1000000,4807582,1
1000000,4792128,1
1000000,4953148,1
1000000,4900157,1
1000000,5026423,1
1000000,5001850,1
