Sort_algorithm, Array_size, Min(us), Avg(us), Max(us), All_sorted
QuickSort_25.0,10000,2242,2385,2826,1
QuickSort_25.0,50000,24206,24946,26661,1
QuickSort_25.0,100000,80519,81835,84069,1
QuickSort_25.0,500000,1684803,1704930,1771315,1
QuickSort_25.0,1000000,6573358,6624333,6770751,1
MergeSort_25.0,10000,4593,4663,5309,1
MergeSort_25.0,50000,23963,24404,34205,1
MergeSort_25.0,100000,48711,49048,49786,1
MergeSort_25.0,500000,253068,255418,271589,1
MergeSort_25.0,1000000,517635,521031,538899,1
IntroSort_25.0,10000,7405,10672,14833,1
IntroSort_25.0,50000,58748,71573,77840,1
IntroSort_25.0,100000,140648,149289,173014,1
IntroSort_25.0,500000,749171,782905,808947,1
IntroSort_25.0,1000000,1530143,1575356,1675294,1
QuickSort_50.0,10000,2177,2406,3300,1
QuickSort_50.0,50000,24152,25047,27448,1
QuickSort_50.0,100000,80255,82551,97500,1
QuickSort_50.0,500000,1683635,1699505,1729022,1
QuickSort_50.0,1000000,6562853,6638172,6796333,1
MergeSort_50.0,10000,4402,4550,5854,1
MergeSort_50.0,50000,23028,23300,24040,1
MergeSort_50.0,100000,46452,46670,48160,1
MergeSort_50.0,500000,240713,242660,309317,1
MergeSort_50.0,1000000,491823,494692,547509,1
IntroSort_50.0,10000,5715,9683,11141,1
IntroSort_50.0,50000,48227,65282,71570,1
IntroSort_50.0,100000,110978,138262,148827,1
IntroSort_50.0,500000,673248,758952,789133,1
IntroSort_50.0,1000000,1215338,1516948,1644947,1
QuickSort_75.0,10000,2295,2613,3528,1
QuickSort_75.0,50000,24332,26523,32677,1
QuickSort_75.0,100000,81554,85741,98568,1
QuickSort_75.0,500000,1688618,1714614,1780627,1
QuickSort_75.0,1000000,6584386,6662153,6802106,1
MergeSort_75.0,10000,4176,4231,4690,1
MergeSort_75.0,50000,21692,21839,22316,1
MergeSort_75.0,100000,44136,44286,45915,1
MergeSort_75.0,500000,228401,229910,238989,1
MergeSort_75.0,1000000,466592,473290,526378,1
IntroSort_75.0,10000,3808,7341,9835,1
IntroSort_75.0,50000,28684,49139,64121,1
IntroSort_75.0,100000,60905,109104,159862,1
IntroSort_75.0,500000,297538,643940,764518,1
IntroSort_75.0,1000000,568586,1272087,1463128,1
QuickSort_95.0,10000,3756,4929,6208,1
QuickSort_95.0,50000,35911,40113,51403,1
QuickSort_95.0,100000,103268,114852,133929,1
QuickSort_95.0,500000,1819066,1900033,2050568,1
QuickSort_95.0,1000000,6860727,7050875,7302226,1
MergeSort_95.0,10000,4001,4097,5321,1
MergeSort_95.0,50000,20882,21154,22342,1
MergeSort_95.0,100000,42377,42931,47613,1
MergeSort_95.0,500000,218969,221172,233128,1
MergeSort_95.0,1000000,445975,451021,517162,1
IntroSort_95.0,10000,3292,4042,7000,1
IntroSort_95.0,50000,19919,25810,38269,1
IntroSort_95.0,100000,42263,56124,86163,1
IntroSort_95.0,500000,244435,350896,548392,1
IntroSort_95.0,1000000,512943,708315,1053013,1
QuickSort_99.0,10000,3707,5124,8799,1
QuickSort_99.0,50000,55947,65765,76995,1
QuickSort_99.0,100000,179311,201635,236878,1
QuickSort_99.0,500000,2415858,2561995,2832725,1
QuickSort_99.0,1000000,8154138,8468482,8948365,1
MergeSort_99.0,10000,3955,4014,4399,1
MergeSort_99.0,50000,20649,20801,22364,1
MergeSort_99.0,100000,41876,42122,43562,1
MergeSort_99.0,500000,216577,218928,249545,1
MergeSort_99.0,1000000,443093,444261,452932,1
IntroSort_99.0,10000,3397,3958,5535,1
IntroSort_99.0,50000,20001,21275,25006,1
IntroSort_99.0,100000,42699,45370,54793,1
IntroSort_99.0,500000,245729,263835,319316,1
IntroSort_99.0,1000000,514564,551047,673297,1
QuickSort_99.7,10000,3062,6460,18331,1
QuickSort_99.7,50000,33450,44680,64333,1
QuickSort_99.7,100000,118230,142413,179651,1
QuickSort_99.7,500000,2340275,2461568,2709146,1
QuickSort_99.7,1000000,8371095,8789683,9385395,1
MergeSort_99.7,10000,3946,4001,4419,1
MergeSort_99.7,50000,20600,20719,21036,1
MergeSort_99.7,100000,41792,41975,43433,1
MergeSort_99.7,500000,216164,216659,221744,1
MergeSort_99.7,1000000,442171,442974,444730,1
IntroSort_99.7,10000,3426,3685,4324,1
IntroSort_99.7,50000,20098,21295,24626,1
IntroSort_99.7,100000,42817,44981,52064,1
IntroSort_99.7,500000,245259,260271,313119,1
IntroSort_99.7,1000000,514642,543595,634679,1
