Sort_algorithm, Array_size, Min(us), Avg(us), Max(us), All_sorted
QuickSort,10000,2206,2420,5016,1
QuickSort,50000,24269,25152,28229,1
QuickSort,100000,80439,82056,84402,1
QuickSort,500000,1686098,1704024,1766535,1
QuickSort,1000000,6577050,6620812,6791955,1
MergeSort,10000,4751,4817,5079,1
MergeSort,50000,25011,25276,26956,1
MergeSort,100000,50864,51200,52695,1
MergeSort,500000,263793,264673,268342,1
MergeSort,1000000,536133,537342,543682,1
IntroSort,10000,9129,10839,13216,1
IntroSort,50000,67002,73360,90113,1
IntroSort,100000,138588,150982,158035,1
IntroSort,500000,776934,790608,821454,1
IntroSort,1000000,1541065,1592896,1715710,1
