Sort_algorithm, Array_size, Min(us), Avg(us), Max(us), All_sorted
MergeSort,10000,4032,4107,4589,1
MergeSort,50000,20784,20883,23845,1
MergeSort,100000,42117,42196,43442,1
MergeSort,500000,217567,217720,218206,1
MergeSort,1000000,441249,441534,450670,1
IntroSort,10000,4675,5148,5597,1
IntroSort,50000,27940,28949,30196,1
IntroSort,100000,60735,62817,63886,1
IntroSort,500000,361318,369087,372169,1
IntroSort,1000000,746841,762705,767295,1
QuickSort,10000,161623,175413,189402,1
QuickSort,50000,3576366,4000367,4429506,1
QuickSort,100000,13389093,16009164,18853546,1
